qid,label,creator,year,country,country_clean,geo_tag,collection,location_label,lat,lon,sitelinks,pageviews_12mo,score,en_article,image
Q867678,Antea,Parmigianino,1535,Italy,Italy,Italy,Museo di Capodimonte,Museo di Capodimonte,40.86699,14.250346,11,10066,40.8,Antea (Parmigianino),http://commons.wikimedia.org/wiki/Special:FilePath/Antea%20-%20Parmigianino%20-%20Museo%20di%20Capodimonte%20Q%20108.jpg
Q2349666,"Rideau, Cruchon et Compotier",Paul Cézanne,1893,United States,United States,United States,Whitney Museum of American Art,Chicago,41.881944444,-87.627777777,11,10058,40.8,"Rideau, Cruchon et Compotier",http://commons.wikimedia.org/wiki/Special:FilePath/C%C3%A9zanne%20-%20Rideau%2C%20Cruchon%20et%20Compotier%20%28Curtain%2C%20Pitcher%2C%20and%20a%20Fruit%20Bowl%29%201893-94%20FWN%20854.jpg
Q7539742,Sleep and his Half-brother Death,John William Waterhouse,1874,,,,http://www.wikidata.org/.well-known/genid/52a0fcabc29cfe5bcea8b58ff653e831,,,,11,10124,40.8,Sleep and His Half-Brother Death,http://commons.wikimedia.org/wiki/Special:FilePath/Waterhouse-sleep%20and%20his%20half-brother%20death-1874.jpg
Q27987194,Germania,Philipp Veit,1848,Germany,Germany,Germany,Germanisches Nationalmuseum,Germanisches Nationalmuseum,49.448333,11.075556,11,10091,40.8,"Germania (St. Paul's Church, Frankfurt am Main)",http://commons.wikimedia.org/wiki/Special:FilePath/N%C3%BCrnberg%20%E2%80%94%20GNM%202013-09-07%20Mattes%20%28108%29.JPG
Q20170430,"The Wyndham Sisters: Lady Elcho, Mrs. Adeane, and Mrs. Tennant",John Singer Sargent,1899,United States,United States,United States,Metropolitan Museum of Art,Metropolitan Museum of Art,40.779444444,-73.963333333,10,10699,40.8,"The Wyndham Sisters: Lady Elcho, Mrs. Adeane, and Mrs. Tennant",http://commons.wikimedia.org/wiki/Special:FilePath/The%20Wyndham%20Sisters%20-%20Lady%20Elcho%2C%20Mrs.%20Adeane%2C%20and%20Mrs.%20Tenant.jpg
Q39013,The Woman in the Waves,Gustave Courbet,1868,United States,United States,United States,Metropolitan Museum of Art,Metropolitan Museum of Art,40.779444444,-73.963333333,22,4737,40.7,The Woman in the Waves,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Woman%20in%20the%20Waves%20MET%20DT887.jpg
Q180632,Pope Paul III and His Grandsons,Titian,1546,Italy,Italy,Italy,Museo di Capodimonte,Museo di Capodimonte,40.86699,14.250346,17,6535,40.7,Pope Paul III and His Grandsons,http://commons.wikimedia.org/wiki/Special:FilePath/Titian%20%E2%80%93%20Portrait%20of%20Pope%20Paul%20III%20with%20his%20Grandsons%20%E2%80%93%20Google%20Art%20Project%20%E2%80%93%20edited.jpg
Q3135789,"Hip, Hip, Hurrah!",Peder Severin Krøyer,1888,Sweden,Sweden,Europe other,Gothenburg Museum of Art,Gothenburg Museum of Art,57.696388888,11.980555555,14,8032,40.7,"Hip, Hip, Hurrah!",http://commons.wikimedia.org/wiki/Special:FilePath/Hip%2C%20Hip%2C%20Hurrah%21%20Artists%E2%80%99%20Party%2C%20Skagen%20%28Peder%20Severin%20Kr%C3%B8yer%29%20-%20Gothenburg%20Museum%20of%20Art%20-%20F%2062.tif
Q2165279,Saint Catherine of Alexandria,Raphael,1507,United Kingdom,United Kingdom,United Kingdom,National Gallery,National Gallery,51.508888888,-0.128333333,14,8168,40.7,Saint Catherine of Alexandria (Raphael),http://commons.wikimedia.org/wiki/Special:FilePath/Raffael%20020.jpg
Q686105,Madame Georges Charpentier and her Children,Pierre-Auguste Renoir,1878,United States,United States,United States,Metropolitan Museum of Art,Metropolitan Museum of Art,40.779444444,-73.963333333,13,8585,40.7,Madame Georges Charpentier and Her Children,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre-Auguste%20Renoir%20094.jpg
Q1103801,The Ecstasy of Saint Cecilia,Raphael,1514,Italy,Italy,Italy,Pinacoteca Nazionale di Bologna,Pinacoteca Nazionale di Bologna,44.497707,11.353538,13,8548,40.7,The Ecstasy of Saint Cecilia,http://commons.wikimedia.org/wiki/Special:FilePath/Bologna%20Pinacoteca%20Nazionale%20-%20Rafa%C3%ABl%20Santi%20%281483-1520%29%20-%20Heilige%20Cecilia%20in%20extase%20met%20Paulus%2C%20Johannes%20%28evangelist%29%2C%20Augustinus%20en%20Maria%20Magdalena%20-%2026-04-2012%209-13-18.jpg
Q1993685,The Rooks Have Returned,Alexei Savrasov,1871,Russia,Russia,Russia,Tretyakov Gallery,Tretyakov Gallery,55.741389,37.620864,13,8536,40.7,The Rooks Have Returned,http://commons.wikimedia.org/wiki/Special:FilePath/Aleksey%20Savrasov%20-%20%D0%93%D1%80%D0%B0%D1%87%D0%B8%20%D0%BF%D1%80%D0%B8%D0%BB%D0%B5%D1%82%D0%B5%D0%BB%D0%B8%20-%20Google%20Art%20Project.jpg
